Street,Grand Central,Times Square,Union Square,Penn Station,Herald Square,14th Street,World Trade Center,Fulton Street,5th Avenue,Broadway,Park Avenue,Lexington Avenue,Madison Avenue,7th Avenue,8th Avenue
Grand Central,0,26,38,33,48,32,0,0,50,42,36,29,34,48,53
Times Square,26,0,26,33,29,31,39,37,40,34,29,23,29,37,41
Union Square,38,26,0,34,44,34,50,46,49,41,35,27,38,46,50
Penn Station,33,33,34,0,44,34,49,47,49,41,34,26,38,44,48
Herald Square,48,29,44,44,0,36,48,46,48,40,34,0,40,48,53
14th Street,32,31,34,34,36,0,44,42,46,38,32,25,32,39,44
World Trade Center,0,39,50,49,48,44,0,30,0,34,29,22,30,37,42
Fulton Street,0,37,46,47,46,42,30,0,35,29,22,17,22,30,34
5th Avenue,50,40,49,49,48,46,0,35,0,46,39,32,39,47,50
Broadway,42,34,41,41,40,38,34,29,46,0,30,25,30,37,41
Park Avenue,36,29,35,34,34,32,29,22,39,30,0,20,24,35,39
Lexington Avenue,29,23,27,26,0,25,22,17,32,25,20,0,20,23,27
Madison Avenue,34,29,38,38,40,32,30,22,39,30,24,20,0,29,34
7th Avenue,48,37,46,44,48,39,37,30,47,37,35,29,29,0,30
8th Avenue,53,41,50,48,53,44,42,34,50,41,39,27,34,30,0
