Street,Grand Central,Times Square,Union Square,Penn Station,Herald Square,14th Street,World Trade Center,Fulton Street,5th Avenue,Broadway,Park Avenue,Lexington Avenue,Madison Avenue,7th Avenue,8th Avenue
Grand Central,0,8,12,10,14,11,20,0,15,13,11,9,12,14,16
Times Square,8,0,7,11,10,12,15,13,14,12,10,8,11,13,15
Union Square,12,7,0,9,13,10,17,15,16,14,12,10,13,15,17
Penn Station,10,11,9,0,12,9,16,14,15,13,11,9,12,14,16
Herald Square,14,10,13,12,0,11,14,12,13,11,9,0,10,12,14
14th Street,11,12,10,9,11,0,13,11,12,10,8,6,9,11,13
World Trade Center,20,15,17,16,14,13,0,8,0,9,7,5,8,10,12
Fulton Street,0,13,15,14,12,11,8,0,9,7,5,3,6,8,10
5th Avenue,15,14,16,15,13,12,0,9,0,12,10,8,10,12,14
Broadway,13,12,14,13,11,10,9,7,12,0,9,7,9,11,13
Park Avenue,11,10,12,11,9,8,7,5,10,9,0,6,8,10,12
Lexington Avenue,9,8,10,9,0,6,5,3,8,7,6,0,7,9,11
Madison Avenue,12,11,13,12,10,9,8,6,10,9,8,7,0,11,13
7th Avenue,14,13,15,14,12,11,10,8,12,11,10,9,11,0,12
8th Avenue,16,15,17,16,14,13,12,10,14,13,12,11,13,12,0
